,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,first_doc,institution_id,ind_prod
644,59a235e2-d22d-4774-a2ef-6e4c8ca0a797,,,,,,,,,,,,1,,,Doutorado,,5,,,,,,37,,,2022,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.125
645,3cce12a7-6c4b-4bd4-9f2e-aef01c983b3a,,,,1,,,,,,,,,,,Pós-Doutorado,,18,7,9,2,,,7,,,2003,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,0.0
646,ee70d07d-67ab-4191-8c95-81812748e10d,,,,,,,,,,,,,,,Graduação,,,,,,,,,,,None,498cadc8-b8f6-4008-902e-76281109187d,0.0
647,9c8f63f2-c081-4b98-9ddc-fb0f621a8524,,,,,,,1,,,,,,1,,Doutorado,,,,,,,,3,,,2016,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.75
648,913d60b1-d67d-4462-9686-89d6d4412f84,,,,,,,,,,,,,,,Doutorado,1,2,,,,,,,,,2011,498cadc8-b8f6-4008-902e-76281109187d,0.0
649,9aafa604-6e65-473b-9702-7a39300db883,,,,,,,,,1,,,,3,,Doutorado,,,,,,,,,,,2011,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.5
650,1cacb601-41e1-4fda-9480-1006c614f05f,,,,,,,,,1,,,1,1,,Mestrado,1,,,,,,,8,,,None,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,0.625
651,17156652-e14d-4166-be7e-c1dde4005a9e,,,,2,,,,,,,,3,,,Doutorado,,1,,,,,,85,,11,2000,68125729-c357-4830-ba4d-ec3ca757c323,0.375
652,e4df2ba0-2556-4945-ab4a-03c1b796843d,,,,1,,,,,,,,,,1,Doutorado,,,,,,,,13,,,2019,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.0
653,03babe3f-33e4-49bc-ac73-1af6e0401d5a,,,,,,,,,1,2,,,,,Doutorado,,,,,,,,1,,,2021,498cadc8-b8f6-4008-902e-76281109187d,1.24
654,da933384-927f-43c4-bf72-c345339ac5fb,,,,1,,,,,,,,,,,Mestrado,,,,,,,,,,14,None,68125729-c357-4830-ba4d-ec3ca757c323,0.0
655,4b546204-5717-4ebb-9855-5f4d2cba44ef,,,,,,,,,,,,,,,Pós-Doutorado,2,3,,,,,,1,,,2015,68125729-c357-4830-ba4d-ec3ca757c323,0.0
656,072fbd40-bf57-4764-8987-fde61dc06c91,,,,2,,,,,,,,,,,Mestrado,,,,,,,,2,,,None,68125729-c357-4830-ba4d-ec3ca757c323,0.0
657,cd18d592-e0b4-436f-bd99-42ff612cf612,3,,,,3,5,1,3,1,,,,4,2,Pós-Doutorado,3,19,1,14,6,17,,,,,2001,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,10.5
658,67d90bc7-9d39-4248-b5b5-9e5729580549,,,,,,,,,,,,,,,,,,,,,,,,,,None,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,0.0
659,d8539974-8c02-4a1e-8e07-271bd36c571e,,,,,,,,,,,,,,,Mestrado,2,,,,,,,2,,,None,68125729-c357-4830-ba4d-ec3ca757c323,0.0
660,f4d1e0b2-ec6d-4cbc-9018-3ee7bd776eb3,,,,15,,,,,2,,,,,,Doutorado,,5,3,8,7,5,,3,,,2003,68125729-c357-4830-ba4d-ec3ca757c323,1.0
661,50f14536-2b25-47b0-afe2-2feee4ec278f,,,,,,,,,,,,,,,,,,,,,,,,,,None,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.0
662,83fbfa0b-2fc1-4f75-9896-10a4ca5da352,,,,,,,,,1,2,,,1,1,Doutorado,,,3,4,,,,6,,,2016,08aa6e17-f9ae-4979-a399-5b32a506a15e,1.24
663,f526d6a2-7c56-40ee-9a4a-36b867c42d23,,,,,,,,,,,,,,,Doutorado,,,,,,,,,,,2001,68125729-c357-4830-ba4d-ec3ca757c323,0.0
664,c4f10499-de6d-4858-844f-b170cfff73d0,,,,,,,,,,,,,,1,Doutorado,,,,,,,,1,,1,2023,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.0
665,4a9ac735-fc74-4f21-a40a-32e16d6717f2,,,,,,,,,,,,,,,Especialização,,,,,,,,8,,,2003,68125729-c357-4830-ba4d-ec3ca757c323,0.0
666,7ef55b26-6503-4ab4-b105-135a33c05d82,,,,,,,,,,,,,,,,,,,,,,,,,,None,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,0.0
667,3d1d34db-acb0-4908-a71b-6e886e1378dd,,,,1,1,,3,,,,,,,,Doutorado,3,3,,,,,,6,,,2021,08aa6e17-f9ae-4979-a399-5b32a506a15e,3.25
668,c740a60a-2025-49f3-8246-3c34ae2e9112,,,,,,,,,,,,,,,Especialização,,,,,,,,10,,,None,68125729-c357-4830-ba4d-ec3ca757c323,0.0
669,29907865-5281-4b97-8869-c651fc5434e3,,,,,,,,,1,2,,,,,Pós-Doutorado,,2,7,2,,,,,,,2015,08aa6e17-f9ae-4979-a399-5b32a506a15e,1.24
670,2f378691-ec61-416e-a316-71e3695aeb89,,,,2,,,,,,,,,,,Doutorado,,3,,,,,,1,,,2010,68125729-c357-4830-ba4d-ec3ca757c323,0.0
671,327d1ac5-5d1f-44f7-8f5f-e2f68dc4294a,,,,,,,,,,,,,1,,Pós-Doutorado,,,2,1,,,,5,,,2013,498cadc8-b8f6-4008-902e-76281109187d,0.0
672,bb4806a8-88c2-4d29-bd3a-4597f36a9044,,,,1,,,1,,,,,,,1,Doutorado,,,,,,,,,,2,2015,498cadc8-b8f6-4008-902e-76281109187d,0.75
673,3458544d-6735-42d7-824c-0a55470183ed,,,,,,,,,,,,,,,Mestrado,,,,,,,,10,,,None,68125729-c357-4830-ba4d-ec3ca757c323,0.0
674,7eb43339-fa55-4557-aedb-c4741b1e006b,,,,1,,,,,,,,,,,Doutorado,,,,,,,,,,,2004,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,0.0
675,51ed4097-722e-4e56-85c8-19943d21cca9,,,,,,,,,,,,,,,Mestrado,,4,,,,,,14,,,None,68125729-c357-4830-ba4d-ec3ca757c323,0.0
676,9652a06b-a761-41f0-b4c3-75097b86cf34,,1,,,,,,,,,1,,1,,Doutorado,,,2,2,,,,,,,2005,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,0.25
677,5d351793-b7f0-4ea9-9d52-a40136b9ec57,,,,,,1,1,2,,1,,,,1,Pós-Doutorado,2,7,,4,,,,5,,,1997,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,3.245
678,b6f4e2dd-fe02-4495-a2df-c6eab7026ec4,,,,,,,,,,,,,,,Doutorado,,2,,,,,,2,,,2016,2a643ff4-5a18-4d87-8c3d-6c3f7091e001,0.0
679,0b6c6215-10db-4d3a-828b-bd17e5a34b90,,,,,,1,,,,,,,,,Doutorado,,,,,,,,,,1,2018,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.875
680,2ed4ab09-c378-4b28-8b48-52831c7f90be,,,,,,,,,,,,,,,Doutorado,,,,,,,,44,,,2014,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.0
681,ef01c68f-be23-4f35-b6b3-21ae76143871,,,,,,,,,,,,,,,,,,,,,,,,,,2013,498cadc8-b8f6-4008-902e-76281109187d,0.0
682,f2922b16-1536-4203-8bd1-e1f1489637c9,,,,,1,,,1,1,,,,,1,Especialização,,,,,,,,7,,,None,68125729-c357-4830-ba4d-ec3ca757c323,2.125
683,069b81fa-090f-4331-88ad-e518ee2cbf57,,,,,,,,,,,,,,,,,,,,,,,,,,1998,08aa6e17-f9ae-4979-a399-5b32a506a15e,0.0
684,43bb5b90-693a-4761-b8df-0a97405157d1,,,,,,,,,,,,,,,Doutorado,,,,,,,,3,,,2023,68125729-c357-4830-ba4d-ec3ca757c323,0.0
685,ddefd7c9-dd7a-4eec-b476-110b955fca72,,,,,,,,,,,,,,,Doutorado,,,,,,,,5,,,2007,68125729-c357-4830-ba4d-ec3ca757c323,0.0
686,07606b11-1263-4dfa-aa21-80555b979e61,,,,25,,,,,,,3,,,2,Mestrado,2,7,,,,,,17,,2,None,68125729-c357-4830-ba4d-ec3ca757c323,0.75
687,2ff26ed1-89d0-4792-9a7b-fc83da4967b0,,,,1,,,,,,,,,,,Doutorado,,,,,,,,22,,,2022,68125729-c357-4830-ba4d-ec3ca757c323,0.0
