,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,ind_prod
145,6119fe20-044a-4dc5-864c-05f8318205af,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
146,24b79e1f-8c96-4492-bd4a-c7a8c5345797,,,,,,,,,,,,,,,Mestrado,,,,,,,,3,,,0.0
147,1f7308c2-4230-4c52-8f4a-49561706414c,,,,2,,,,,,,2,,,2,Pós-Doutorado,1,3,2,10,,,,19,,9,0.5
148,e16b6522-a178-4ba8-8a48-d216d63b7d77,,,,6,,,,,,,,,,,Doutorado,,,,,,,,,,,0.0
149,43799e85-513b-48f2-a5eb-b526d50e0674,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
150,6c51defb-2b78-4c01-bf71-26cf34a42a1f,,2,,1,,,,,,,,,,,Doutorado,,1,2,,,,,3,,,0.0
151,e5111d60-adbc-4839-87dd-a5fe86969331,,,,,,,,,,,,,,,Doutorado,,5,,4,,,,15,,,0.0
152,2e473559-940a-4579-834a-92c3e3834058,,1,,,,,,,,,,,,,Mestrado,,,,,,,,,,,0.0
153,de6d0791-4cda-43cc-9fb4-95ec29ae2421,,,,2,,,3,2,1,2,,,,,Doutorado,2,13,3,3,3,,,4,,1,4.74
154,b1c293ae-01c6-40c1-a71f-c7d479c7dff8,,,,,,,,,,,1,,,,Doutorado,,,,2,,,,,,,0.25
155,6827ac90-982f-4e50-bb76-a7f323f0af36,,,,3,,,,,1,1,,,1,,Doutorado,4,5,1,1,,,,5,,8,0.87
156,972e3bb7-c126-47ec-9a35-1caf8cae69ef,,,,,,,1,,,,,,,1,Pós-Doutorado,2,20,,1,,,,4,,1,0.75
157,76879882-3118-43eb-81c5-c0606a1f658a,,1,,3,,,2,3,3,1,2,1,8,1,Doutorado,2,17,1,5,4,2,,1,,,5.87
158,b12ea58e-2266-44a4-8c4f-6dd379c6a15f,,,,1,,,,,2,,2,,2,,Doutorado,,2,1,8,,,,,,,1.5
159,ca1e9800-fb53-410e-83fd-513c5b8051ae,,,,,,1,,,4,1,,3,,,Doutorado,3,2,3,3,,,,15,,,3.62
160,e388ae8c-d67a-44d4-bb5e-c9ab77c9df46,,,,,1,5,1,1,,2,1,1,,,Pós-Doutorado,1,10,1,5,4,,,,,,7.865
161,19218c06-3844-4c64-b6c0-afda16fef6f4,,,,,,,,,,,,,,,Mestrado,1,3,,,,,,9,,,0.0
162,ac753eb7-5a23-4348-af85-162150be01c7,,,,1,,1,,,,1,,,,1,Doutorado,1,3,1,1,,,,4,,,1.245
163,616276f3-eece-4cea-a6ed-d06187c4f3ea,,,,1,3,4,2,1,1,2,,1,1,,Doutorado,2,23,5,7,5,14,,5,,,9.99
164,402a13d1-180d-47ca-9cdb-0c079eec9950,,,,,,,,,,,,,,,Mestrado,,,,,,,,4,,,0.0
165,eb584029-2522-4f91-872c-2692689f3b32,,,,,,,,1,,1,,,,2,Mestrado,,,,,,,,28,,1,0.995
166,89bbc36f-cf09-48a4-9a08-e900a26246ae,,,,6,,,,,,,,,2,,Doutorado,,,4,3,,,,4,,,0.0
167,9df895e4-6216-4614-ba84-c21cbbacbbf0,,,,1,,,,1,2,1,,,,1,Pós-Doutorado,,1,,,,,,2,,,1.995
168,bd54d3de-3cbe-4bd2-9cce-61df0c800bd1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
169,5ec126d6-730e-4a39-a5ea-83a7c0f6fbb8,,,,1,,1,2,1,1,,,,,,Doutorado,4,,1,,,,,,,,3.5
170,aa92d350-7589-4188-af7e-d155556312e3,,,,1,,,,,,,2,,,,Mestrado,,,,,,,,1,,,0.5
171,60bbc6af-972a-4fb5-8a6c-7701331279c9,,,,4,,,,,1,,,,,,Mestrado,,,,,,,,,,,0.5
172,bc81d241-6d31-4bb1-8aa8-f7e79c679bdd,,,,1,,,,,,,,,,,Doutorado,5,17,3,3,,,,14,,,0.0
173,01cc4364-6f64-4db4-9418-cc8985d312d5,,,,,,,,,,,,,,,Mestrado,,,,,,,,,,,0.0
174,634f7494-3b0c-4cbf-9767-889a84983343,,,,,,,,,,,,,,,Doutorado,,,,,,,,20,,,0.0
175,902a8b26-910f-4fec-b8a6-d8bd98a428d3,,,,,,,,,,,,,,,Mestrado,,,,,,,,2,,2,0.0
176,fca4c5ed-9f2b-4f61-9cb7-cb79e94bf76a,,,,,1,,,2,,,1,1,,,Mestrado,,4,,,,,,18,,,2.625
177,36f1114e-2be8-48ab-bed4-3b9a63fd5873,,,,,4,,1,2,,,,,2,,Mestrado,,,,,,,,3,,,6.0
178,fdb6e9d6-0ba1-487f-8ded-a14e1551da3d,,,,,,,,,,,,,1,,Mestrado,,,,,,,,4,,4,0.0
179,98cece2f-1828-4fc2-b0f0-1442ea2c7750,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
180,b0379193-5af6-484e-b056-6f1d5a425a49,,,,,,,,1,,,2,1,1,,Doutorado,,7,,,,,,6,,,1.25
181,2452299b-39aa-4fa4-b8ad-95c4133f6cc7,,,,,,,,,,,,,,,Mestrado,,1,,,,,,1,,3,0.0
182,5ebff6a1-bc7f-4c1c-8cdf-d2838539317f,,,,1,,,,,1,1,,,,2,Doutorado,,,,,,,,54,,1,0.87
