,researcher_id,institution_id,modality_code,modality_name,category_level_code,funding_program_name,aid_quantity,scholarship_quantity
0,eab867ae-cae9-4cd2-8346-77fdf85ebad2,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
1,eab867ae-cae9-4cd2-8346-77fdf85ebad2,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
2,0e3f04a5-fc50-4310-becf-5684e5928096,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1B,Programas Básicos,,1
3,0e3f04a5-fc50-4310-becf-5684e5928096,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1B,Programas Básicos,,1
4,dcd01ef7-217d-4d9f-8160-820d4cfa5be7,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
5,dcd01ef7-217d-4d9f-8160-820d4cfa5be7,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
6,9d7a6190-1a60-4af6-9b43-ecdefc911bb7,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1C,Programas Básicos,,1
7,9d7a6190-1a60-4af6-9b43-ecdefc911bb7,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1C,Programas Básicos,,1
8,04798d43-c993-47bb-88b0-7e67e5e0133c,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
9,04798d43-c993-47bb-88b0-7e67e5e0133c,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
10,6dd22176-3cc0-4d5f-89be-31b4887de669,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1A,Programas Básicos,,1
11,6dd22176-3cc0-4d5f-89be-31b4887de669,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1A,Programas Básicos,,1
12,71ada993-3aa8-4196-ab15-f184cd16164b,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
13,71ada993-3aa8-4196-ab15-f184cd16164b,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
14,18bfae4c-974d-478c-b0c4-f4654de3f1b5,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
15,18bfae4c-974d-478c-b0c4-f4654de3f1b5,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
16,f9482164-e9f8-40f6-8b68-1b6daf81a483,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1C,Programas Básicos,,1
17,f9482164-e9f8-40f6-8b68-1b6daf81a483,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1C,Programas Básicos,,1
18,ad9bf4d6-95fa-48d0-8fce-d6bde99990e6,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
19,ad9bf4d6-95fa-48d0-8fce-d6bde99990e6,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
20,44387966-87f3-42a9-8815-fe494287432a,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
21,44387966-87f3-42a9-8815-fe494287432a,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
22,37e41e98-f715-4c28-99e9-6349a7bba216,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1B,Programas Básicos,,1
23,37e41e98-f715-4c28-99e9-6349a7bba216,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1B,Programas Básicos,,1
24,328840e7-78d5-4416-afae-ab9e49717cb3,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
25,328840e7-78d5-4416-afae-ab9e49717cb3,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
26,875f65be-0e38-4179-88cc-807c0585a337,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
27,875f65be-0e38-4179-88cc-807c0585a337,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
28,f25f89a5-c442-442e-9340-36babe80473b,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
29,f25f89a5-c442-442e-9340-36babe80473b,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
30,cc2f7f32-f796-4516-96d5-ff032d50c859,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
31,cc2f7f32-f796-4516-96d5-ff032d50c859,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
32,de3b452f-dd38-4d6f-b654-77ee579d84eb,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1C,Programas Básicos,,1
33,de3b452f-dd38-4d6f-b654-77ee579d84eb,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1C,Programas Básicos,,1
34,59fb3676-a752-4932-8614-76cbfdf376ba,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
35,59fb3676-a752-4932-8614-76cbfdf376ba,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1D,Programas Básicos,,1
36,33b1a668-62f4-4479-aa64-4a24d828bef8,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
37,33b1a668-62f4-4479-aa64-4a24d828bef8,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
38,b953710f-6f35-415a-b02b-2048d1f5dc4a,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1B,Programas Básicos,,1
39,b953710f-6f35-415a-b02b-2048d1f5dc4a,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,1B,Programas Básicos,,1
40,d569b2fc-18c7-4154-a32a-5fadb021debc,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
41,d569b2fc-18c7-4154-a32a-5fadb021debc,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
42,c86764b7-a009-4682-b054-57bebd99d1a6,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
43,c86764b7-a009-4682-b054-57bebd99d1a6,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
44,82d822d5-adc7-4d1e-8bd3-b2acfb9eaa82,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
45,82d822d5-adc7-4d1e-8bd3-b2acfb9eaa82,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
46,73838a50-ebf1-4e94-bfba-2ebcff568c62,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
47,73838a50-ebf1-4e94-bfba-2ebcff568c62,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
48,6df39875-9e95-45e5-9442-e6cd557312b5,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
49,6df39875-9e95-45e5-9442-e6cd557312b5,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
50,2c5bc34f-4b2c-4102-b98f-c08df4bb31c7,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
51,2c5bc34f-4b2c-4102-b98f-c08df4bb31c7,083a16f0-cccf-47d2-a676-d10b8931f66b,PQ,Produtividade em Pesquisa,2,Programas Básicos,,1
